ID trait COHORT LACTATION DIM
sample_1 268 12 4 2
sample_2 374 12 4 3
sample_3 242 16 4 3
sample_4 437 5 2 4
sample_5 356 12 4 1
sample_6 374 12 4 3
sample_7 424 12 3 4
sample_8 428 12 4 3
sample_9 415 12 4 3
sample_10 338 12 3 2
sample_11 228 12 3 2
sample_12 318 12 3 3
sample_13 329 12 4 1
sample_14 360 12 3 3
sample_15 408 12 3 2
sample_16 409 12 3 3
sample_17 309 12 3 1
sample_18 426 12 3 3
sample_19 371 12 3 3
sample_20 409 12 3 3
sample_21 205 12 3 3
sample_22 337 12 2 2
sample_23 292 12 3 3
sample_24 344 12 3 3
sample_25 373 12 3 1
sample_26 423 12 2 4
sample_27 365 12 2 2
sample_28 206 2 4 1
sample_29 379 16 3 2
sample_30 453 16 3 3
sample_31 245 2 4 4
sample_32 294 12 3 1
sample_33 415 12 2 3
sample_34 263 12 2 3
sample_35 315 12 3 1
sample_36 357 12 3 1
sample_37 344 12 2 4
sample_38 420 12 2 3
sample_39 330 12 3 1
sample_40 297 12 3 2
sample_41 353 12 2 3
sample_42 436 12 2 3
sample_43 295 2 3 3
sample_44 253 4 2 1
sample_45 360 4 2 2
sample_46 377 4 2 2
sample_47 343 17 2 3
sample_48 319 17 2 3
sample_49 386 17 2 3
sample_50 336 17 2 3
sample_51 363 17 2 3
sample_52 510 4 2 4
sample_53 364 4 1 4
sample_54 226 4 2 2
sample_55 457 4 1 4
sample_56 381 4 2 1
sample_57 306 4 2 2
sample_58 319 4 2 3
sample_59 348 4 2 2
sample_60 819 4 2 3
sample_61 425 4 2 2
sample_62 453 4 1 4
sample_63 334 12 2 4
sample_64 369 12 2 3
sample_65 343 17 2 2
sample_66 368 17 1 4
sample_67 371 17 2 2
sample_68 392 17 2 2
sample_69 171 17 2 2
sample_70 351 17 2 1
sample_71 317 17 1 4
sample_72 321 17 2 1
sample_73 349 17 2 2
sample_74 375 17 2 2
sample_75 255 17 2 1
sample_76 451 17 1 4
sample_77 370 17 2 1
sample_78 322 11 2 2
sample_79 320 11 1 2
sample_80 409 12 2 2
sample_81 461 12 2 3
sample_82 303 11 1 4
sample_83 233 17 1 2
sample_84 338 16 2 3
sample_85 638 16 2 3
sample_86 464 16 3 1
sample_87 344 16 2 4
sample_88 256 5 1 4
sample_89 377 5 1 3
sample_90 304 5 1 3
sample_91 433 12 2 1
sample_92 345 12 2 2
sample_93 416 12 2 3
sample_94 376 12 2 1
sample_95 407 12 2 3
sample_96 292 12 2 2
sample_97 259 12 2 1
sample_98 379 12 2 3
sample_99 274 12 2 2
sample_100 308 12 2 2
sample_101 331 12 2 2
sample_102 421 12 2 1
sample_103 394 12 2 2
sample_104 348 12 2 2
sample_105 330 12 2 2
sample_106 326 12 2 2
sample_107 385 12 2 2
sample_108 360 12 2 2
sample_109 374 12 2 3
sample_110 370 12 2 2
sample_111 309 4 1 4
sample_112 263 4 2 1
sample_113 417 4 1 4
sample_114 364 4 1 4
sample_115 259 4 1 3
sample_116 403 4 1 3
sample_117 407 4 1 3
sample_118 399 4 1 3
sample_119 376 4 1 2
sample_120 364 4 1 3
sample_121 380 4 1 2
sample_122 313 4 1 3
sample_123 319 4 1 2
sample_124 382 4 1 3
sample_125 605 4 1 2
sample_126 332 4 1 1
sample_127 456 17 1 3
sample_128 281 17 1 4
sample_129 356 17 1 4
sample_130 367 17 1 4
sample_131 292 17 1 3
sample_132 355 17 1 3
sample_133 342 17 1 4
sample_134 389 17 1 4
sample_135 369 17 1 4
sample_136 386 17 1 4
sample_137 395 17 1 4
sample_138 368 11 2 1
sample_139 467 4 1 1
sample_140 417 4 1 1
sample_141 282 4 1 3
sample_142 432 4 1 3
sample_143 312 4 1 2
sample_144 866 4 1 1
sample_145 434 4 1 1
sample_146 345 4 1 1
sample_147 707 4 1 1
sample_148 422 4 1 1
sample_149 505 16 2 2
sample_150 361 1 1 4
sample_151 454 15 1 4
sample_152 479 1 1 4
sample_153 406 1 1 4
sample_154 425 1 1 3
sample_155 435 1 1 4
sample_156 175 1 1 4
sample_157 362 1 1 4
sample_158 364 1 1 4
sample_159 340 1 1 4
sample_160 378 1 1 4
sample_161 480 1 1 4
sample_162 410 1 1 3
sample_163 411 1 1 3
sample_164 401 12 2 1
sample_165 368 12 2 1
sample_166 360 12 2 1
sample_167 480 12 1 4
sample_168 523 12 1 4
sample_169 439 12 1 4
sample_170 211 12 2 1
sample_171 362 12 2 1
sample_172 453 12 1 4
sample_173 265 12 2 1
sample_174 316 17 1 3
sample_175 395 17 1 3
sample_176 464 17 1 4
sample_177 396 17 1 3
sample_178 393 17 1 3
sample_179 371 17 1 3
sample_180 271 17 1 3
sample_181 317 17 1 2
sample_182 290 17 1 2
sample_183 411 17 1 3
sample_184 449 15 2 2
sample_185 368 15 2 2
sample_186 422 15 1 4
sample_187 453 15 1 4
sample_188 449 15 1 4
sample_189 402 15 1 4
sample_190 358 15 1 3
sample_191 368 15 1 4
sample_192 462 15 1 3
sample_193 464 15 1 2
sample_194 345 15 1 3
sample_195 441 15 1 2
sample_196 359 15 1 3
sample_197 315 15 1 2
sample_198 641 12 1 4
sample_199 467 12 1 3
sample_200 524 12 1 4
sample_201 515 12 1 4
sample_202 389 12 2 1
sample_203 471 12 1 4
sample_204 496 12 1 3
sample_205 469 12 1 3
sample_206 428 12 1 3
sample_207 498 12 1 3
sample_208 309 12 1 3
sample_209 400 12 1 4
sample_210 487 12 1 4
sample_211 318 10 1 4
sample_212 341 10 1 3
sample_213 278 10 1 3
sample_214 378 10 1 3
sample_215 333 10 1 3
sample_216 304 10 1 2
sample_217 469 10 1 2
sample_218 279 10 1 2
sample_219 345 10 1 1
sample_220 308 10 1 1
sample_221 424 15 1 2
sample_222 357 15 1 1
sample_223 375 15 1 2
sample_224 244 15 1 1
sample_225 319 15 1 2
sample_226 327 15 1 2
sample_227 566 16 1 4
sample_228 392 12 2 1
sample_229 358 12 1 4
sample_230 393 12 1 2
sample_231 401 12 1 3
sample_232 514 12 1 4
sample_233 393 12 1 4
sample_234 384 12 1 2
sample_235 456 12 1 3
sample_236 333 12 1 2
sample_237 398 12 1 3
sample_238 502 12 1 3
sample_239 291 12 1 3
sample_240 495 12 1 3
sample_241 367 12 1 2
sample_242 446 12 1 1
sample_243 363 12 1 3
sample_244 413 12 1 2
sample_245 300 12 1 2
sample_246 382 12 1 3
sample_247 147 12 1 4
sample_248 413 17 1 3
sample_249 247 17 1 3
sample_250 416 17 1 2
sample_251 308 17 1 2
sample_252 307 17 1 2
sample_253 348 17 1 3
sample_254 343 17 1 2
sample_255 383 17 1 3
sample_256 246 17 1 2
sample_257 353 17 1 1
sample_258 308 17 1 2
sample_259 291 17 1 1
sample_260 429 17 1 2
sample_261 327 17 1 2
sample_262 500 16 1 3
